UID,Student Name,Email,Parent Phone,Class Name,Section,Campus
KYC098KL,RAQIB KHAN,raqib.khan123@gmail.com,9874162530,Grade 7th,Adobe,Yamuna Campus
KYC18P6P,MOHAMMED ABDUL RAED,mohammed.raed786@gmail.com,9825316470,Grade 7th,Adobe,Yamuna Campus
KYC1U5M7,ABDUL ARHAAN PASHA,abdul.arhaan.pasha@gmail.com,9846135270,Grade 7th,Adobe,Yamuna Campus
KYC1X92P,SHAIK HUZAIFA,shaik.huzaifa77@gmail.com,9865423170,Grade 7th,Adobe,Yamuna Campus
KYC22UI8,MOHD ABDUL ALMAN,mohd.abdul.alman99@gmail.com,9896415730,Grade 7th,Adobe,Yamuna Campus
KYC2EP64,SHAIK ZAID HUSSAIN,shaik.zaid.hussain09@gmail.com,9817546320,Grade 7th,Adobe,Yamuna Campus
KYC2U61E,AKMAL ADEEB,akmal.adeeb001@gmail.com,9824136570,Grade 7th,Adobe,Yamuna Campus
KYC2V44X,FAIZ ULLAH QADRI,faiz.ullah.qadri07@gmail.com,9875423160,Grade 7th,Adobe,Yamuna Campus
KYC323PK,SHAIK SAAD ARHAN,shaik.saad.arhan23@gmail.com,9856413720,Grade 7th,Adobe,Yamuna Campus
KYC38PP4,MOHAMMED ARMAAN UDDIN,mohammed.armaan.uddin21@gmail.com,9894721530,Grade 7th,Adobe,Yamuna Campus
KYC3L64H,DAIVIK SHEETAL,daivik.sheetal43@gmail.com,9816245730,Grade 7th,Adobe,Yamuna Campus
KYC42O7O,SYED ANSAB HUSSAIN,syed.ansab.hussain25@gmail.com,9847532160,Grade 7th,Adobe,Yamuna Campus
KYC49A6Q,MUHAMMAD HAMZA,muhammad.hamza64@gmail.com,9864215730,Grade 7th,Adobe,Yamuna Campus
KYC4R9I8,SAAD MOHAMMAD,saad.mohammad73@gmail.com,9874523160,Grade 7th,Adobe,Yamuna Campus
KYC53IV4,MOHAMMED ABDUL JABBAR,mohammed.abdul.jabbar47@gmail.com,9825461370,Grade 7th,Adobe,Yamuna Campus
KYC5H98F,MUGHAIRAH AFFAN,mughairah.affan82@gmail.com,9854126730,Grade 7th,Adobe,Yamuna Campus
KYC5XX62,MOHAMMED ABDUL FAHAAD,mohammed.abdul.fahaad39@gmail.com,9896742310,Grade 7th,Adobe,Yamuna Campus
KYC65WL9,MOHAMMAD ABDUL ABUBAKAR,mohammad.abdul.abubakar71@gmail.com,9847263510,Grade 7th,Adobe,Yamuna Campus
KYC735CH,MOHAMMED ALIYAN ZOHEB,mohammed.aliyan.zoheb46@gmail.com,9865147320,Grade 7th,Adobe,Yamuna Campus
KYC7K32W,MOHD OMAR,mohd.omar97@gmail.com,9876532140,Grade 7th,Adobe,Yamuna Campus
KYC804XJ,MOHAMMED ABDUL HAFEEZ AYAAN,mohammed.abdul.hafeez.ayaan11@gmail.com,9824316570,Grade 7th,Adobe,Yamuna Campus
KYC8E3W0,ABDUL AZIZ NAWAZ,abdul.aziz.nawaz58@gmail.com,9847562130,Grade 7th,Adobe,Yamuna Campus
KYC911RF,AMMAR BIN KHALED BAHARMUZ,ammar.khaled.baharmuz05@gmail.com,9865742130,Grade 7th,Adobe,Yamuna Campus
KYC91E6J,MOHD ABDUL JALEEL,mohd.abdul.jaleel92@gmail.com,9816452370,Grade 7th,Adobe,Yamuna Campus
KYC9K9O2,ABDUL MALIK AKMAL,abdul.malik.akmal74@gmail.com,9895176420,Grade 7th,Adobe,Yamuna Campus
KYC9N5T1,MOHAMMED ABDUL KAREEM,mohammed.abdul.kareem62@gmail.com,9842136750,Grade 7th,Adobe,Yamuna Campus
KYCA314Q,SYED IBRAHIM,syed.ibrahim93@gmail.com,9875642130,Grade 7th,Adobe,Yamuna Campus
KYCB891H,MOHAMMAD REYYAN UDDIN,mohammad.reyyan.uddin44@gmail.com,9824365710,Grade 7th,Adobe,Yamuna Campus
KYCD9P28,MIRZA MUDDASIR AHMED,mirza.muddasir.ahmed37@gmail.com,9864251730,Grade 7th,Adobe,Yamuna Campus
KYCE76N0,MOHAMMAD SIRAJ,mohammad.siraj82@gmail.com,9856741320,Grade 7th,Adobe,Yamuna Campus
KYCJ6H29,MOHAMMAD ZUBAIR,mohammad.zubair61@gmail.com,9894217650,Grade 7th,Adobe,Yamuna Campus
KYCJU648,KISHAN,kishan9988@gmail.com,9816524730,Grade 7th,Adobe,Yamuna Campus
KYCL2P34,SHAIK UMAR FAROOQ,shaik.umar.farooq95@gmail.com,9845172360,Grade 7th,Adobe,Yamuna Campus
KYCMU144,MOHAMMED SOHAIB KHAN,mohammed.sohaib.khan48@gmail.com,9867314520,Grade 7th,Adobe,Yamuna Campus
KYCN75M6,MOHAMMED AATIF ALI KHAN,mohammed.aatif.ali.khan36@gmail.com,9875146230,Grade 7th,Adobe,Yamuna Campus
KYCN7W86,KASHIF HUSSAIN SIDDIQUI,kashif.hussain.siddiqui74@gmail.com,9826531470,Grade 7th,Adobe,Yamuna Campus
KYCRD041,NASRULLAH KHAN,nasrullah.khan28@gmail.com,9847135620,Grade 7th,Adobe,Yamuna Campus
KYCT341I,MD GHAZI UDDIN,md.ghazi.uddin12@gmail.com,9865743210,Grade 7th,Adobe,Yamuna Campus
KYCU7A30,MOHAMMED ARHAM ALI HAMZA,mohammed.arham.ali.hamza19@gmail.com,9871643520,Grade 7th,Adobe,Yamuna Campus
KYCV6D86,MOHAMMED AMAANULLAH,mohammed.amaanullah56@gmail.com,9825417630,Grade 7th,Adobe,Yamuna Campus
KYCVV015,MOHAMMED ANWAARULLAH,mohammed.anwaarullah41@gmail.com,9865132470,Grade 7th,Adobe,Yamuna Campus
KYCX914R,ABDUL RAHMAN,abdul.rahman43@gmail.com,9896457130,Grade 7th,Adobe,Yamuna Campus
KYC028OE,YASHWANTH RAGULLA,yashwanth.ragulla01@gmail.com,9874162451,Grade 7th,Mahindra,Yamuna Campus
KYC05O3W,LOKESH SANIVARAPU,lokesh.sanivarapu02@gmail.com,9825316428,Grade 7th,Mahindra,Yamuna Campus
KYC10SQ2,NERELLA ASHWITH REDDY,nerella.ashwith.reddy03@gmail.com,9846135249,Grade 7th,Mahindra,Yamuna Campus
KYC238SB,VIPUL JADHAV,vipul.jadhav04@gmail.com,9865423197,Grade 7th,Mahindra,Yamuna Campus
KYC33OE8,VISLAVATH SRIKANTH,vislavath.srikanth05@gmail.com,9896415792,Grade 7th,Mahindra,Yamuna Campus
KYC347WW,PRATHUISH G,prathuish.g06@gmail.com,9817546395,Grade 7th,Mahindra,Yamuna Campus
KYC3AG58,SATHWIK B,sathwik.b07@gmail.com,9824136598,Grade 7th,Mahindra,Yamuna Campus
KYC3G6P8,KUMAR NUNAVATH,kumar.nunavath08@gmail.com,9875423164,Grade 7th,Mahindra,Yamuna Campus
KYC4R87K,UJWAL SUNKE,ujwal.sunke09@gmail.com,9856413795,Grade 7th,Mahindra,Yamuna Campus
KYC595GM,NIKSHETHAN K,nikshethan.k10@gmail.com,9894721586,Grade 7th,Mahindra,Yamuna Campus
KYC5O61H,VISHVATEJA M,vishvateja.m11@gmail.com,9816245793,Grade 7th,Mahindra,Yamuna Campus
KYC5PQ96,HARSHATH R,harshath.r12@gmail.com,9847532149,Grade 7th,Mahindra,Yamuna Campus
KYC613RT,THIRUPATHI,thirupathi13@gmail.com,9864215794,Grade 7th,Mahindra,Yamuna Campus
KYC614DG,SANDEEP MEGHAVATH,sandeep.meghavath14@gmail.com,9874523196,Grade 7th,Mahindra,Yamuna Campus
KYC631OV,SRI HARSHA Y,sri.harsha.y15@gmail.com,9825461392,Grade 7th,Mahindra,Yamuna Campus
KYC76PL7,ANUGANDULA ASHWIN KUMAR,anugandula.ashwin16@gmail.com,9854126793,Grade 7th,Mahindra,Yamuna Campus
KYC797MC,MALAVATH VARSHITH NAYAK,malavath.varshith17@gmail.com,9896742378,Grade 7th,Mahindra,Yamuna Campus
KYC95Y5E,RATHISH T,rathish.t18@gmail.com,9847263579,Grade 7th,Mahindra,Yamuna Campus
KYC98BN5,ROBBIN,robbin19@gmail.com,9865147392,Grade 7th,Mahindra,Yamuna Campus
KYC9A8B8,RISHIKESH K,rishikesh.k20@gmail.com,9876532195,Grade 7th,Mahindra,Yamuna Campus
KYC9I0S4,SIDHANTH M,sidhanth.m21@gmail.com,9824316593,Grade 7th,Mahindra,Yamuna Campus
KYC9V80J,VIGNESH J,vignesh.j22@gmail.com,9847562197,Grade 7th,Mahindra,Yamuna Campus
KYCR037H,BANDHELA VEERENDRA TEJA,bandhela.veerendra23@gmail.com,9865742198,Grade 7th,Mahindra,Yamuna Campus
KYCT145V,GANGADHAR S,gangadhar.s24@gmail.com,9816452391,Grade 7th,Mahindra,Yamuna Campus
KYCU62R2,HARSHA VARDHAN BHUKYA,harsha.vardhan25@gmail.com,9895176493,Grade 7th,Mahindra,Yamuna Campus
KYCU73N4,NIMMALA ADVITH,nimmala.advith26@gmail.com,9842136792,Grade 7th,Mahindra,Yamuna Campus
KYCVR920,SRI HARSHAVARDHAN D.C,sri.harshavardhan27@gmail.com,9875642197,Grade 7th,Mahindra,Yamuna Campus
KYCX52C6,KARAN MUMMANENI,karan.mummaneni28@gmail.com,9824365794,Grade 7th,Mahindra,Yamuna Campus
KYC052QC,YUDWITHRAJ JANARDHAN,yudwithraj.janardhan01@gmail.com,9874162452,Grade 7th,Tata,Yamuna Campus
KYC0JK21,NIKHIL SAI STHALAM,nikhil.sai.sthalam02@gmail.com,9825316429,Grade 7th,Tata,Yamuna Campus
KYC11N7Z,KUSHAL S,kushal.s03@gmail.com,9846135250,Grade 7th,Tata,Yamuna Campus
KYC153OU,PRAJWAL BATTIKIRI,prajwal.battikiri04@gmail.com,9865423198,Grade 7th,Tata,Yamuna Campus
KYC2KF77,KARTHIKEYA MUKKAPATI,karthikeya.mukkapati05@gmail.com,9896415793,Grade 7th,Tata,Yamuna Campus
KYC2Y0Z6,SAI THANUSH BARMAVATH,saithanush.barmavath06@gmail.com,9817546396,Grade 7th,Tata,Yamuna Campus
KYC3B32R,SUDHAN KRISHNA SAKKI,sudhan.krishna.sakki07@gmail.com,9824136599,Grade 7th,Tata,Yamuna Campus
KYC3D04S,AVINASH A,avinash.a08@gmail.com,9875423165,Grade 7th,Tata,Yamuna Campus
KYC3G42I,SAI PRASHANTH M,saiprashanth.m09@gmail.com,9856413796,Grade 7th,Tata,Yamuna Campus
KYC4CW42,UDBHAVNATH M,udbhavnath.m10@gmail.com,9894721587,Grade 7th,Tata,Yamuna Campus
KYC4X3G4,SAI KRISHNA R,saikrishna.r11@gmail.com,9816245794,Grade 7th,Tata,Yamuna Campus
KYC4X7A1,ANUGANDULA PARTHIV,anugandula.parthiv12@gmail.com,9847532150,Grade 7th,Tata,Yamuna Campus
KYC552EO,JITHESH A,jithesh.a13@gmail.com,9864215795,Grade 7th,Tata,Yamuna Campus
KYC59O8E,HARSHITH BEKKANTI,harshith.bekkanti14@gmail.com,9874523197,Grade 7th,Tata,Yamuna Campus
KYC5D34P,SRIKETHAN REDDY CH,srikethan.reddy.ch15@gmail.com,9825461393,Grade 7th,Tata,Yamuna Campus
